,access_time,bytes_in,bytes_out,source_ip,dest_ip,dest_port,country_code,fingerprint,dna
259,2024-04-26T09:30:00Z,8928.0,5548.0,147.161.131.1,10.138.69.97,443.0,AT,"From Austria, at 09:30:AM, accessed port 443.0, recieved more data in than sent out",44a1916106ff35f25c566250193f1a6c87b1f1f35272704aeefbab5a966f3f8b
260,2024-04-26T09:40:00Z,5348.0,4296.0,147.161.161.82,10.138.69.97,443.0,AE,"From United Arab Emirates, at 09:40:AM, accessed port 443.0, recieved more data in than sent out",34c601a20f79d97ec95a24bb109496bf800f9d04c1a77157fab72d2da6ea21a7
261,2024-04-26T09:40:00Z,8052.0,13298.0,165.225.33.6,10.138.69.97,443.0,US,"From United States, at 09:40:AM, accessed port 443.0, sent more data out than recieved",d171d735290bfce6da14c857d233ec8b8dd0f8f8502dd85fa1d012d82ecfa311
262,2024-04-26T09:40:00Z,38524.0,42218.0,136.226.67.101,10.138.69.97,443.0,US,"From United States, at 09:40:AM, accessed port 443.0, sent more data out than recieved",d171d735290bfce6da14c857d233ec8b8dd0f8f8502dd85fa1d012d82ecfa311
263,2024-04-26T09:40:00Z,28400.0,13364.0,165.225.212.255,10.138.69.97,443.0,CA,"From Canada, at 09:40:AM, accessed port 443.0, recieved more data in than sent out",f9b374c3b875f429a18f9d9dae39df7c88e868f8e70f90a74f40a2d3d5694c7b
264,2024-04-26T09:40:00Z,2021960.0,78684.0,165.225.240.79,10.138.69.97,443.0,NL,"From Netherlands, at 09:40:AM, accessed port 443.0, recieved more data in than sent out",5efffd647b0b7f39b5d3a4c55ed97aa3382cb51f601e17a6794bc1a390847c35
265,2024-04-26T09:40:00Z,7382.0,4370.0,136.226.77.103,10.138.69.97,443.0,CA,"From Canada, at 09:40:AM, accessed port 443.0, recieved more data in than sent out",f9b374c3b875f429a18f9d9dae39df7c88e868f8e70f90a74f40a2d3d5694c7b
266,2024-04-26T09:40:00Z,9232.0,23036.0,165.225.26.101,10.138.69.97,443.0,DE,"From Germany, at 09:40:AM, accessed port 443.0, sent more data out than recieved",8dd2b432af05fc45d9a3ce6bb851e4fb1605789c6e7cb21e7836dc761db403a5
267,2024-04-26T09:40:00Z,25199191.0,1557598.0,155.91.45.242,10.138.69.97,443.0,US,"From United States, at 09:40:AM, accessed port 443.0, recieved more data in than sent out",31034ecfdbc7615693c7e3700f9930e701674b4c959f8c31a49d2e444cddebaa
268,2024-04-26T09:40:00Z,6216.0,13027.0,165.225.209.4,10.138.69.97,443.0,CA,"From Canada, at 09:40:AM, accessed port 443.0, sent more data out than recieved",0bcf13640a1fee6b5a0927c056682505397a816e7739d94481845d67d4b8732e
269,2024-04-26T09:40:00Z,3996.0,11674.0,147.161.131.1,10.138.69.97,443.0,AT,"From Austria, at 09:40:AM, accessed port 443.0, sent more data out than recieved",821dfaa0afb584f07f3c79d39fc9e815997e97c88de04063b0d62c26e79e7f3f
270,2024-04-26T09:40:00Z,4324.0,11778.0,136.226.80.97,10.138.69.97,443.0,US,"From United States, at 09:40:AM, accessed port 443.0, sent more data out than recieved",d171d735290bfce6da14c857d233ec8b8dd0f8f8502dd85fa1d012d82ecfa311
271,2024-04-26T09:50:00Z,21752.0,22356.0,136.226.67.101,10.138.69.97,443.0,US,"From United States, at 09:50:AM, accessed port 443.0, sent more data out than recieved",502aed0c09af250354647e3cbf5bda5da97b5654ffbe104f46f737419084eb49
272,2024-04-26T09:50:00Z,28988.0,15340.0,165.225.213.7,10.138.69.97,443.0,CA,"From Canada, at 09:50:AM, accessed port 443.0, recieved more data in than sent out",4388f414d9e4b7292db92101a8b977e2fa73c59da452efa3955261fdda969933
273,2024-04-26T09:50:00Z,30450.0,14276.0,136.226.64.114,10.138.69.97,443.0,US,"From United States, at 09:50:AM, accessed port 443.0, recieved more data in than sent out",855b288286fbb0cb62b3886ceb4ff25ac4c339ecab15c3062b6e1d29ad3e86ca
274,2024-04-26T09:50:00Z,3976.0,11178.0,94.188.248.74,10.138.69.97,443.0,IL,"From Israel, at 09:50:AM, accessed port 443.0, sent more data out than recieved",f40c4259b6c19795872a6acb958e0c856dd227090e202d93a3f68f33f8edfedf
275,2024-04-26T09:50:00Z,3782.0,11038.0,165.225.240.79,10.138.69.97,443.0,NL,"From Netherlands, at 09:50:AM, accessed port 443.0, sent more data out than recieved",bef340ad25932e5e9abe100040016572ac4bd936135fae08d36f336777ecc3c0
276,2024-04-26T09:50:00Z,40.0,264.0,192.241.205.18,10.138.69.97,443.0,US,"From United States, at 09:50:AM, accessed port 443.0, sent more data out than recieved",502aed0c09af250354647e3cbf5bda5da97b5654ffbe104f46f737419084eb49
277,2024-04-26T09:50:00Z,41336.0,13180.0,136.226.77.103,10.138.69.97,443.0,CA,"From Canada, at 09:50:AM, accessed port 443.0, recieved more data in than sent out",4388f414d9e4b7292db92101a8b977e2fa73c59da452efa3955261fdda969933
278,2024-04-26T09:50:00Z,3638.0,3190.0,165.225.26.101,10.138.69.97,443.0,DE,"From Germany, at 09:50:AM, accessed port 443.0, recieved more data in than sent out",3ebf46d5ebbfebc1d6bf80e906298fe642f0261721ee72825044a81b2656b110
279,2024-04-26T09:50:00Z,25207794.0,1561220.0,155.91.45.242,10.138.69.97,443.0,US,"From United States, at 09:50:AM, accessed port 443.0, recieved more data in than sent out",855b288286fbb0cb62b3886ceb4ff25ac4c339ecab15c3062b6e1d29ad3e86ca
280,2024-04-26T09:50:00Z,5736.0,12114.0,165.225.209.4,10.138.69.97,443.0,CA,"From Canada, at 09:50:AM, accessed port 443.0, sent more data out than recieved",c9fc3dd709287e66e10118eee7ebf5dfb4ab1e2141176e6584f5724ec0cf4e73
281,2024-04-26T09:50:00Z,9032.0,5862.0,147.161.131.1,10.138.69.97,443.0,AT,"From Austria, at 09:50:AM, accessed port 443.0, recieved more data in than sent out",958a98411a09a91a15cc5e1c71d097d9a71cebbed79f00ec4b6835ed1b3fbd60
