Behaviour,DNA,Count
"From United Arab Emirates, at 01:20:AM, accessed port 443.0, sent more data out than recieved",422325bfca4a72d5b38a1fc61b5dd62f521a86ae9e0ebad4cd099f81f88692a6,1
"From United Arab Emirates, at 08:20:AM, accessed port 443.0, sent more data out than recieved",43b6de2c7fc6997a8d5f84ce975723209178ecffa11bb3c7dfe17d46524d9c6f,1
"From Canada, at 08:20:AM, accessed port 443.0, sent more data out than recieved",3692c8d96b876249d4b69df48eb8903472b6bf805ff253823693e90d960e87b6,1
"From Austria, at 11:20:PM, accessed port 443.0, sent more data out than recieved",37a1b519c8747f707663726ac8138591e4c9b22f89ab31f4a9428239cae48cff,1
"From Germany, at 08:50:AM, accessed port 443.0, sent more data out than recieved",3afca0d9fa38884d65c1f2082ade656ea9f4e9eaae6c2bf3a2b7c96a93bfd41c,1
"From Netherlands, at 09:30:AM, accessed port 443.0, recieved more data in than sent out",3a32fa0db7c7ee1ebc39bb35f266fdce1cb36225fb4af0df6171940f3bc6957d,1
"From United Arab Emirates, at 09:40:AM, accessed port 443.0, recieved more data in than sent out",34c601a20f79d97ec95a24bb109496bf800f9d04c1a77157fab72d2da6ea21a7,1
"From Germany, at 12:20:AM, accessed port 443.0, sent more data out than recieved",3daea6f4808f6455b981147f75145ca2cfd66f32d7b1b8fa21b472280242915d,1
"From United States, at 01:50:AM, accessed port 443.0, sent more data out than recieved",3b1ea0051408427d5c37506c9ba5921753c9813a4b486acf912bcb50380e8433,1
"From Canada, at 11:40:PM, accessed port 443.0, sent more data out than recieved",219d44b1a9acb91a61cf84e80fb29c4d1c798b48ceb0127f53de60b75613a685,1
"From Netherlands, at 11:20:PM, accessed port 443.0, sent more data out than recieved",29e5ed809b2dea76bd05ba7f14c4662cd1d2c6d31101ad8206734cf60016df2f,1
"From United States, at 01:40:AM, accessed port 443.0, recieved more data in than sent out",299e848151699ac93f05e5f388649aea0c7103b4d950ff5c7b2b0006b2682d12,1
"From United Arab Emirates, at 12:30:AM, accessed port 443.0, recieved more data in than sent out",26df3b337fe468b261acca36437f58b2ce5540760834950946c231341530c08d,1
"From Austria, at 01:10:AM, accessed port 443.0, sent more data out than recieved",2ba7e4d4f212f414c51f289edcb331607438dfcbe7cace5489d16aaca6c2df38,1
"From Austria, at 11:00:PM, accessed port 443.0, recieved more data in than sent out",2f941144891c7679a553afac16260631941c4de3d16c8ad142068c4b3869f4bc,1
"From Canada, at 12:10:AM, accessed port 443.0, sent more data out than recieved",30b9d5674b62a6cd9dd615521700be1d0f68f76c44d288095c74c55d7936f7f8,1
"From United States, at 09:40:AM, accessed port 443.0, recieved more data in than sent out",31034ecfdbc7615693c7e3700f9930e701674b4c959f8c31a49d2e444cddebaa,1
"From Canada, at 01:30:AM, accessed port 443.0, recieved more data in than sent out",320853e79a917aa00d272c358829948cf56441582b92cb6f4d224ca1afafb5ab,1
